-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/2023 through 07/01/2024 
Location: Latitude  27.72   Longitude 85.32 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 1269.39 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M             MERRA-2 Temperature at 2 Meters (C) 
QV2M            MERRA-2 Specific Humidity at 2 Meters (g/kg) 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
PS              MERRA-2 Surface Pressure (kPa) 
WS10M           MERRA-2 Wind Speed at 10 Meters (m/s) 
-END HEADER-
YEAR,MO,DY,T2M,QV2M,PRECTOTCORR,PS,WS10M
2023,1,1,9.55,6.29,0.0,87.98,1.33
2023,1,2,9.83,6.16,0.0,88.0,1.91
2023,1,3,9.78,5.19,0.0,87.99,1.98
2023,1,4,9.45,3.23,0.0,87.97,1.71
2023,1,5,9.42,3.6,0.0,88.05,1.64
2023,1,6,11.92,3.72,0.0,88.09,1.8
2023,1,7,12.66,3.54,0.0,87.96,1.66
2023,1,8,12.59,3.42,0.0,87.84,1.38
2023,1,9,12.6,3.85,0.0,87.92,1.39
2023,1,10,12.25,4.58,0.0,87.76,1.7
2023,1,11,10.64,4.94,0.0,87.56,1.48
2023,1,12,11.84,4.94,0.0,87.44,1.83
2023,1,13,12.06,5.0,0.0,87.51,2.16
2023,1,14,11.34,6.04,0.0,87.43,2.57
2023,1,15,10.3,6.23,0.0,87.37,2.0
2023,1,16,9.73,5.49,0.0,87.47,1.97
2023,1,17,9.43,5.19,0.0,87.52,1.83
2023,1,18,9.55,4.94,0.0,87.71,1.69
2023,1,19,9.75,4.94,0.0,87.77,1.78
2023,1,20,11.64,5.19,0.0,87.74,1.8
2023,1,21,12.32,4.88,0.0,87.67,2.52
2023,1,22,13.05,4.52,0.0,87.67,2.32
2023,1,23,13.46,4.21,0.0,87.62,2.84
2023,1,24,13.83,5.07,0.0,87.74,2.23
2023,1,25,14.91,5.62,0.0,87.7,2.38
2023,1,26,15.32,6.29,0.0,87.65,2.78
2023,1,27,15.16,6.04,0.0,87.62,2.61
2023,1,28,14.33,5.98,0.0,87.53,1.92
2023,1,29,14.78,6.04,0.0,87.7,1.46
2023,1,30,15.8,5.25,0.0,87.84,2.09
2023,1,31,15.81,4.82,0.0,87.61,2.48
2023,2,1,13.41,5.25,0.0,87.47,2.2
2023,2,2,12.55,4.82,0.0,87.56,2.03
2023,2,3,13.71,5.0,0.0,87.55,1.89
2023,2,4,13.32,5.25,0.0,87.36,1.8
2023,2,5,13.02,5.49,0.0,87.35,1.87
2023,2,6,13.12,5.55,0.0,87.36,2.08
2023,2,7,13.21,5.8,0.0,87.24,2.32
2023,2,8,13.42,6.41,0.0,87.38,2.16
2023,2,9,12.83,6.23,0.0,87.47,2.05
2023,2,10,13.11,5.31,0.0,87.44,2.52
2023,2,11,14.91,5.37,0.0,87.43,2.92
2023,2,12,13.09,4.94,0.0,87.4,3.44
2023,2,13,12.29,3.54,0.0,87.35,2.55
2023,2,14,12.54,3.6,0.0,87.58,2.27
2023,2,15,12.28,3.78,0.0,87.48,2.49
2023,2,16,14.84,4.76,0.0,87.66,2.11
2023,2,17,15.57,5.8,0.0,87.79,2.13
2023,2,18,15.74,5.62,0.0,87.76,2.24
2023,2,19,16.11,6.1,0.0,87.68,2.2
2023,2,20,16.42,7.2,0.0,87.56,1.92
2023,2,21,17.08,7.02,0.04,87.55,2.24
2023,2,22,16.38,5.98,0.08,87.43,2.56
2023,2,23,16.25,5.07,0.03,87.42,2.5
2023,2,24,16.58,4.03,0.01,87.61,2.35
2023,2,25,15.49,4.21,0.0,87.9,2.23
2023,2,26,14.94,4.82,1.52,88.0,2.32
2023,2,27,14.97,5.37,1.29,87.9,2.15
2023,2,28,15.62,5.43,0.01,87.88,2.38
2023,3,1,16.66,5.43,0.09,87.98,2.52
2023,3,2,17.02,5.43,0.05,87.95,2.34
2023,3,3,18.15,5.86,0.0,87.89,2.2
2023,3,4,18.3,6.23,0.0,87.96,2.3
2023,3,5,17.86,5.86,0.0,87.86,2.62
2023,3,6,17.67,5.37,0.0,87.69,2.62
2023,3,7,18.0,5.13,0.15,87.76,2.78
2023,3,8,17.43,5.55,0.55,87.94,2.23
2023,3,9,16.83,5.49,0.02,87.81,2.48
2023,3,10,17.34,5.49,0.0,87.75,2.55
2023,3,11,17.66,5.86,0.0,87.8,2.41
2023,3,12,19.05,6.84,0.01,87.76,2.16
2023,3,13,18.73,7.02,0.12,87.66,2.45
2023,3,14,17.93,7.2,0.19,87.41,2.2
2023,3,15,17.84,6.47,0.17,87.34,2.73
2023,3,16,17.95,5.92,0.17,87.54,2.41
2023,3,17,17.18,7.51,2.47,87.64,1.88
2023,3,18,16.69,8.18,6.53,87.52,1.96
2023,3,19,14.81,9.77,3.26,87.31,2.04
2023,3,20,12.98,9.52,11.44,87.13,1.73
2023,3,21,13.62,8.36,8.37,87.24,1.29
2023,3,22,15.19,8.0,0.74,87.16,2.46
2023,3,23,16.05,7.81,0.09,87.09,2.52
2023,3,24,17.94,7.32,0.88,87.35,2.02
2023,3,25,19.26,7.75,0.07,87.5,2.55
2023,3,26,19.46,6.84,0.01,87.32,3.27
2023,3,27,18.78,5.55,0.06,87.24,2.7
2023,3,28,18.57,5.55,0.11,87.33,2.77
2023,3,29,19.17,5.07,0.0,87.45,2.57
2023,3,30,19.1,5.07,0.07,87.32,2.77
2023,3,31,17.27,6.65,7.9,87.37,2.13
2023,4,1,16.37,7.75,3.57,87.31,1.71
2023,4,2,15.95,7.57,1.02,87.07,2.44
2023,4,3,18.8,7.87,1.15,87.05,2.69
2023,4,4,19.93,7.69,1.51,87.19,3.44
2023,4,5,19.66,7.08,0.38,87.22,2.6
2023,4,6,20.3,5.43,0.17,87.42,2.84
2023,4,7,20.92,4.94,0.0,87.64,2.74
2023,4,8,21.37,4.88,0.0,87.78,2.68
2023,4,9,21.41,5.31,0.0,87.73,2.96
2023,4,10,21.06,4.88,0.0,87.52,3.34
2023,4,11,22.23,4.82,0.0,87.5,2.78
2023,4,12,22.88,5.31,0.0,87.44,2.68
2023,4,13,23.12,5.86,0.0,87.39,2.73
2023,4,14,23.62,6.04,0.0,87.42,2.88
2023,4,15,24.67,6.59,0.0,87.46,2.48
2023,4,16,25.06,6.9,0.0,87.27,2.83
2023,4,17,24.62,6.47,0.0,87.27,3.15
2023,4,18,25.62,6.65,0.0,87.38,3.41
2023,4,19,25.45,7.14,0.0,87.04,3.38
2023,4,20,25.74,7.51,0.03,86.81,3.76
2023,4,21,24.23,7.14,1.72,86.91,2.66
2023,4,22,21.54,7.32,3.28,87.0,2.53
2023,4,23,20.81,7.39,2.72,87.22,2.42
2023,4,24,20.08,8.24,3.64,87.56,1.96
2023,4,25,20.12,7.39,0.41,87.56,2.42
2023,4,26,21.01,7.02,0.25,87.36,2.67
2023,4,27,21.29,6.9,0.01,87.38,2.79
2023,4,28,21.54,7.69,2.66,87.36,2.87
2023,4,29,21.56,9.28,7.79,87.32,2.36
2023,4,30,17.46,10.86,5.87,87.35,1.77
2023,5,1,18.66,9.34,0.07,87.35,1.75
2023,5,2,18.27,8.54,0.0,87.45,2.04
2023,5,3,19.4,9.83,0.95,87.5,2.48
2023,5,4,18.86,10.8,11.28,87.39,1.97
2023,5,5,20.76,8.97,0.01,87.12,2.66
2023,5,6,22.72,8.85,0.0,87.0,2.98
2023,5,7,23.33,9.03,0.01,87.04,2.4
2023,5,8,23.72,6.9,0.02,87.05,3.21
2023,5,9,23.48,6.23,0.0,87.1,3.73
2023,5,10,23.57,5.49,0.0,87.15,2.53
2023,5,11,23.05,4.39,0.0,87.33,2.5
2023,5,12,23.23,6.65,0.0,87.34,3.0
2023,5,13,24.68,9.16,0.09,87.28,2.45
2023,5,14,24.58,9.95,3.17,86.99,2.45
2023,5,15,22.79,10.93,11.18,86.94,2.46
2023,5,16,22.66,9.89,2.37,87.12,2.45
2023,5,17,22.97,10.99,13.32,87.28,2.53
2023,5,18,22.54,11.84,3.45,87.38,2.65
2023,5,19,22.98,9.83,1.13,87.15,2.65
2023,5,20,23.05,8.18,0.39,87.14,2.71
2023,5,21,23.81,8.48,0.91,87.27,2.41
2023,5,22,24.5,10.38,4.31,87.32,2.57
2023,5,23,23.79,11.54,3.52,87.34,2.41
2023,5,24,23.33,12.15,0.43,87.25,2.27
2023,5,25,22.53,12.21,4.88,87.2,2.59
2023,5,26,21.94,10.56,2.32,87.26,2.59
2023,5,27,21.88,10.74,11.68,87.17,2.28
2023,5,28,21.69,11.41,1.88,87.34,2.41
2023,5,29,24.05,10.93,0.08,87.45,2.2
2023,5,30,25.83,9.77,0.0,87.41,2.6
2023,5,31,27.05,9.52,0.0,87.21,3.06
2023,6,1,25.98,9.4,0.0,87.05,2.98
2023,6,2,25.63,8.85,0.05,87.02,2.77
2023,6,3,26.12,8.85,0.01,87.12,2.62
2023,6,4,26.44,9.16,0.0,87.11,2.68
2023,6,5,26.22,9.4,0.03,87.06,2.23
2023,6,6,26.65,9.95,0.4,86.98,2.41
2023,6,7,27.13,10.07,0.92,86.94,2.58
2023,6,8,28.03,9.7,0.01,86.91,2.27
2023,6,9,28.36,9.58,0.0,86.76,2.66
2023,6,10,27.07,11.78,0.08,86.71,2.34
