date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres
2023-07-01,26.1,24.1,30.8,34.2,,107,10.6,,1002.5,
2023-07-02,26.4,24.5,30.6,36.3,,103,10.4,,1001.9,
2023-07-03,26.2,24.1,30.4,34.3,,100,11.4,,1002.1,
2023-07-04,27.9,24.5,32.7,19.7,,98,14.1,,1001.6,
2023-07-05,27.3,24.8,31.6,18.6,,92,12.6,,1001.5,
2023-07-06,29.4,26,34.7,0.4,,97,12.1,,1002,
2023-07-07,28.1,24.9,32.6,9.5,,98,17.9,,1003.3,
2023-07-08,28.5,24.6,33.8,7.9,,90,15.1,,1004.5,
2023-07-09,28.9,25.1,34.6,4.8,,105,12.4,,1003.4,
2023-07-10,28.8,25.2,33.4,8.3,,93,11,,1002.6,
2023-07-11,28.2,25.2,34.2,11.3,,91,11.3,,1002.3,
2023-07-12,27.4,24.5,33.8,27.3,,90,11.1,,1002.5,
2023-07-13,27.1,24.3,30.4,35.7,,87,9.5,,1003,
2023-07-14,26.8,24.4,32.3,21.1,,94,9.9,,1003.2,
2023-07-15,27.5,24.9,32,4.3,,85,10.5,,1002.9,
2023-07-16,28.8,25.9,32.4,7.3,,90,12,,1002,
2023-07-17,28.2,26.3,33.4,1.6,,92,16.1,,1001.7,
2023-07-18,28.6,25.7,33.1,1.1,,69,10.4,,1001.6,
2023-07-19,30.4,26.6,35.3,0,,72,8.4,,1000.1,
2023-07-20,30.5,27.3,35.9,1.2,,81,10.9,,1000.1,
2023-07-21,29.9,27.6,34,2,,80,13.5,,1003.3,
2023-07-22,29.6,26.7,35.2,1.1,,91,14.8,,1006.3,
2023-07-23,29.9,27.3,35.2,1.8,,81,12.2,,1005.4,
2023-07-24,28.5,25.1,33.1,5.4,,92,11.1,,1003.4,
2023-07-25,27.8,24.7,32.9,6.6,,78,9.3,,1004.2,
2023-07-26,28.4,25.8,31.8,3.2,,66,8.8,,1004.2,
2023-07-27,28.9,25.7,33,1.6,,79,12,,1002.8,
2023-07-28,29.2,25.7,34.2,1.3,,81,10.2,,1000,
2023-07-29,27.4,25.1,31,12.6,,94,8.1,,1000.2,
2023-07-30,27.5,24.8,31,12.7,,85,7.7,,999.3,
2023-07-31,28.8,25,35,1.1,,230,6.1,,998.2,
2023-08-01,29.6,26.2,34.4,0.1,,120,6.6,,996.7,
2023-08-02,29,26.1,32.5,18.5,,60,11.4,,997.4,
2023-08-03,28.5,26,33,9.2,,86,18.4,,998.5,
2023-08-04,28.1,25.1,32.5,15,,90,17.2,,1001.2,
2023-08-05,28.2,25.1,33.2,3.9,,93,12.9,,1002,
2023-08-06,28.1,25.5,33.6,10.1,,77,6.6,,999.2,
2023-08-07,26.2,24.6,29.2,25.7,,246,7.3,,997.1,
2023-08-08,26,24.3,28.6,34.5,,230,6.6,,999,
2023-08-09,26.8,24.8,30,10.2,,139,10.5,,1001.9,
2023-08-10,27.3,24.8,31.4,3.9,,102,14.9,,1003.7,
2023-08-11,27.6,25.2,31.6,12.1,,107,8.9,,1003,
2023-08-12,26.5,25.1,29.1,18.6,,269,7.5,,1001,
2023-08-13,26.2,25.1,28.8,4.2,,315,6.8,,1002.2,
2023-08-14,27,24.4,30.7,4.2,,307,5.6,,1004.3,
2023-08-15,28.4,24.1,33.2,1,,311,8.1,,1003.3,
2023-08-16,29.2,25.6,33.1,3.8,,277,8.3,,1002.3,
2023-08-17,27.9,24.8,32.8,10.4,,88,7.1,,1003.4,
2023-08-18,28.9,25.9,32.5,11.1,,103,10,,1003.3,
2023-08-19,29.2,26.7,33.8,1.8,,89,13.6,,1004.2,
2023-08-20,29.1,26.9,33.8,0.8,,87,11.8,,1004.8,
2023-08-21,27,25.8,29.8,18.7,,72,9.4,,1004,
2023-08-22,27.5,25.2,31,7.1,,95,9.4,,1003.2,
2023-08-23,26.3,24.7,29,13.9,,96,8.8,,1002.4,
2023-08-24,25.7,24.2,30.6,33.6,,105,8.6,,1000.4,
2023-08-25,25.4,24.4,28.2,41.2,,118,9.4,,1000.1,
2023-08-26,25.9,23.8,30.6,79.5,,339,10.6,,1000,
2023-08-27,26.5,23.4,31.8,2.5,,291,10.9,,999.8,
2023-08-28,27.4,23.4,32.8,1.3,,272,10.8,,1000.8,
2023-08-29,27.1,23.5,32.8,1.3,,26,6,,1003.2,
2023-08-30,28.2,23.4,34.2,1.4,,356,6,,1004.5,
2023-08-31,28.8,25.2,33.2,2.4,,0,6.2,,1005.3,
2023-09-01,28.4,24.9,32.2,0.4,,330,5.3,,1004.5,
2023-09-02,27.7,26.1,31.4,9.7,,94,6.5,,1003.6,
2023-09-03,28.2,25.3,34.4,14.7,,86,7.5,,1002.7,
2023-09-04,28.7,24.9,33.5,4.2,,71,7.5,,1002.2,
2023-09-05,28.7,25.9,32.9,2.7,,24,5.3,,1002.9,
2023-09-06,29.9,24.9,35,0,,70,7.6,,1003.6,
2023-09-07,29.1,26.4,34.4,0.5,,80,11.7,,1004.1,
2023-09-08,27.6,24.7,32.8,8.7,,88,16,,1004.6,
2023-09-09,26.4,23.8,29.8,22.4,,95,16,,1004.7,
2023-09-10,28.3,25,34.3,12.6,,97,10.2,,1002.8,
2023-09-11,28.9,25.8,34,4.9,,79,8.9,,1001.6,
2023-09-12,28.1,25.5,34.2,4.5,,74,8.5,,1002.4,
2023-09-13,29.1,25.4,35.4,1.1,,84,8.4,,1002.8,
2023-09-14,28.5,24.9,34.6,3.3,,66,10.6,,1004.3,
2023-09-15,29,26.7,33.4,0.1,,88,17.2,,1005.2,
2023-09-16,28.4,24.9,31.8,0.4,,84,12.7,,1005.5,
2023-09-17,29,25.7,35.7,0.4,,95,8.5,,1004.2,
2023-09-18,28.4,24.6,34.6,4.1,,151,6.8,,1004.3,
2023-09-19,28.1,25,34.4,6.9,,72,8.3,,1006.6,
2023-09-20,27.8,25,34,6.7,,71,9,,1006.7,
2023-09-21,26.6,23.8,29.6,5.8,,80,12.6,,1006.6,
2023-09-22,26.7,23.8,31,1.6,,90,16.2,,1006.5,
2023-09-23,25.7,24.1,29.2,3.6,,92,18.1,,1006.5,
2023-09-24,25.8,23.8,30,1.9,,95,14.6,,1005.9,
2023-09-25,25.9,23.2,30.4,5.8,,90,9.8,,1006.8,
2023-09-26,27.2,23.5,33.1,0.5,,93,7.8,,1007.1,
2023-09-27,27.4,23.5,34.1,0,,1,6.8,,1006.3,
2023-09-28,28,23.7,34.2,0,,7,5.9,,1005.8,
2023-09-29,28.9,23.6,35.1,0,,1,5.6,,1005.6,
2023-09-30,27.5,24.1,34.6,5.1,,58,8.5,,1005.6,
2023-10-01,27.7,24.3,32.8,0,,90,6.5,,1004.6,
2023-10-02,27.4,25.2,32.3,3.5,,41,7.4,,1005.7,
2023-10-03,25.7,24.4,29.1,32.5,,48,10.7,,1006.4,
2023-10-04,25.5,23.9,29.6,13,,47,10.3,,1006.9,
2023-10-05,26.3,22.7,32.2,1.5,,297,9.4,,1005.6,
2023-10-06,26.5,23.5,30.2,0.1,,332,5.9,,1005.9,
2023-10-07,25.9,23.2,31.1,2.5,,79,7.2,,1007.6,
2023-10-08,26.4,22.8,32.4,2.8,,346,7.3,,1008.1,
2023-10-09,26.4,23,32.8,0.7,,1,7,,1008.2,
2023-10-10,26.1,23.4,32.4,4.4,,51,8.1,,1009.2,
2023-10-11,25.5,22.1,31.6,4.2,,71,9.2,,1009.8,
